SKU,Published,Sale price,Regular price
SKU_2WVW5E7_6788PJV,1,16400,40000
SKU_2C0M8FR_35YN6PW,1,10990,17600
SKU_27VL9B6_2V1L9HU,1,12210,13550
SKU_2PFGOI7_4RC4LNH,1,10760,20000
SKU_MNWI7Q_13QMT2K,1,,13500
SKU_JDT05S_63EIQS7,1,10900,17700
SKU_UAFU9R_1FIQ8DF,1,14200,42000
SKU_WULUW9_1JWABM4,1,13000,14040
SKU_2FOZSCE_6LUOYL2,1,13090,22000
SKU_2SZMVS_81096V,1,30000,30000
SKU_NGK7ZC_14M7NLF,1,12370,19000
SKU_3BHP5MV_8EZ3MKO,1,11580,22000
SKU_2Y94M6K_6CVFN6E,1,17550,30000
SKU_2QKXXEL_4WN3MKG,1,15100,26000
SKU_2LLZJF3_49LY2E5,1,,24000
SKU_31FWB44_6WLFD8Q,1,,27900
SKU_33GZMVB_78741KQ,1,40400,43780
SKU_J1WZS_1ZTL9Y,1,9900,25000
SKU_9EWFM_12KQW2,1,18270,29000
SKU_30UVK7F_6T1QU5S,1,,14310
SKU_30TGV61_6SSUE0E,1,19710,24000
SKU_2H01607_3O8L6FI,1,8900,9900
SKU_2TGJVVF_5DWQU3E,1,9800,54000
SKU_34MPYUS_7EEIB7P,1,14040,16050
SKU_2VRXWOX_5WKFVO3,1,15870,24000
SKU_39TMXMN_874S1NJ,1,8460,8750
SKU_2V7OBJB_5SBWJFS,1,17840,28000
SKU_42ORMN_1BO3RRT,1,16560,25000
SKU_34MP0AU_7EEEHAA,1,20000,25000
SKU_31V0TRM_6Z9O7QC,1,17510,18600
SKU_5A1G3T_GV9V9B,1,11880,24000
SKU_2K9DDER_43CMFQ7,1,,18800
SKU_4LHJ_92A2,1,9230,10780
SKU_355OKQ0_7H50DYL,1,19540,32000
SKU_3A8UJIO_898QXB7,1,19900,19900
SKU_1XO8P_6TEF0LB,1,21270,40650
SKU_2DFRF8W_39P6VW3,1,14190,25800
SKU_2Z5C31K_6IELD16,1,107010,127000
SKU_30G0EL8_6QI9IHG,1,,36100
SKU_2TOJ36M_5FYJH70,1,,11900
SKU_2EQWWIG_3EP0QON,1,24000,32000
SKU_33ZBQCK_7AXP5WR,1,36160,48220
SKU_2VIXQ7S_5UOKTY1,1,14800,29600
SKU_33H56OJ_787T3OZ,1,12490,20000
SKU_37Q2HQX_7VL3EBW,1,12500,25800
SKU_38G25S1_7ZYWELF,1,18900,30000
SKU_38I8QMS_80ACRCS,1,16800,28000
SKU_Y0QQI6_1LTTNHA,1,25800,28700
SKU_2YXQH83_6H33MXU,1,,11900
SKU_2SFE8H0_55IKA9Z,1,23770,26000
SKU_5FQEBX_HDYVHJ,1,13660,22000
SKU_2E4MN7U_3CBRPWR,1,18650,36000
SKU_4CZC_88TL,1,16400,20500
SKU_1ZTS8SE_2C44P2Y,1,18870,20300
SKU_32R7S6E_74ASXVP,1,14860,17400
SKU_2EING3_6YUML3,1,24000,24000
SKU_2SIU95B_564D3YC,1,17150,17740
SKU_2K9RJ4D_43E5MTO,1,24480,32000
SKU_L6MBP6_11USTHU,1,10000,14000
SKU_3ATYPXP_8BUBYD4,1,18100,29000
SKU_2NO30TA_4J8582W,1,,10900
SKU_32K3FWA_736D1FF,1,,29440
SKU_2QD4SK_7U1YAT,1,21600,25000
SKU_2SLVCZ6_56PK6FW,1,94000,120000
SKU_3056UWB_6ONIX3D,1,39900,84000
SKU_3ASW7C1_8BPBUEO,1,29900,45000
SKU_YUWEA2_1N7OYV1,1,,21000
SKU_303J6UH_6OE975J,1,,17670
SKU_2YCWJ2B_6DK6R3J,1,,17000
SKU_2X2DTNE_I32N5,1,31130,40430
SKU_6BS2_EO0H,1,26200,27470
SKU_2UA4ZW0_5L79ZO9,1,87360,87360
SKU_2VNSQHV_5VPTG5R,1,13120,13390
SKU_2ICZ12C_3UFIMQ3,1,,51200
SKU_AKQO_UT81,1,,17400
SKU_34XKCOH_7FZHH4S,1,26760,27060
SKU_32MWI4X_73LSJSW,1,14790,17450
SKU_35P938J_7K7N1O3,1,22400,28000
SKU_11ENA7W_1S3WH5C,1,16640,18480
SKU_LR9QSM_12LQPWP,1,,15400
SKU_37Q330D_7VL6KLE,1,12500,25800
SKU_3A5NIJV_88TQR5I,1,,9900
SKU_2UW3PJU_5PYNHN7,1,21500,40000
SKU_19QSG4_44FIBO,1,13260,13890
SKU_388N9SS_7YQD02C,1,12990,15900
SKU_36H2LV1_7OHMOQJ,1,71420,100600
SKU_33K70HC_78NG9PM,1,15800,28000
SKU_23SOOY1_2KY9V3K,1,9600,24000
SKU_ZMDTC0_1OI1FF7,1,,18800
SKU_2IHN9EP_3V2VERJ,1,9900,13300
SKU_2KWVZAM_46HK4UU,1,19600,19600
SKU_2NB8C3I_4HJ4YXN,1,23000,23640
SKU_11LS7B_3K3UAC,1,,15000
SKU_Q0HYD1_18HH6XF,1,,9900
SKU_2XQLH3A_69LNVA0,1,,11900
